[2026-06-03 21:56:53.725556] 🚀 Smart Auto Monitor Started...
[2026-06-03 21:56:53.734336] 📦 Moved ./bdking_r7_ultra.sh -> runner/shell/bdking_r7_ultra.sh
[2026-06-03 21:56:53.734620] 📦 Moved ./bot.js -> runner/node/bot.js
[2026-06-03 21:56:53.734924] 📦 Moved ./brain_memory.json -> runner/data/brain_memory.json
[2026-06-03 21:56:53.735220] 📦 Moved ./check_github_token.py -> runner/python/check_github_token.py
[2026-06-03 21:56:53.735508] 📦 Moved ./check_token.sh -> runner/shell/check_token.sh
[2026-06-03 21:56:53.735785] 📦 Moved ./config.json -> runner/data/config.json
[2026-06-03 21:56:53.736107] 📦 Moved ./control_panel.html -> runner/web/control_panel.html
[2026-06-03 21:56:53.736404] 📦 Moved ./fix_report.json -> runner/data/fix_report.json
[2026-06-03 21:56:53.736711] 📦 Moved ./free-fire.py -> runner/python/free-fire.py
[2026-06-03 21:56:53.737050] 📦 Moved ./git.py -> runner/python/git.py
[2026-06-03 21:56:53.737400] 📦 Moved ./index.html -> runner/web/index.html
[2026-06-03 21:56:53.737723] 📦 Moved ./install.sh -> runner/shell/install.sh
[2026-06-03 21:56:53.738028] 📦 Moved ./issues_report.json -> runner/data/issues_report.json
[2026-06-03 21:56:53.738365] 📦 Moved ./lint_and_detect_issues.py -> runner/python/lint_and_detect_issues.py
[2026-06-03 21:56:53.738715] 📦 Moved ./issues.json -> runner/data/issues.json
[2026-06-03 21:56:53.739068] 📦 Moved ./nodes_state.json -> runner/data/nodes_state.json
[2026-06-03 21:56:53.739385] 📦 Moved ./nodes_status.json -> runner/data/nodes_status.json
[2026-06-03 21:56:53.739711] 📦 Moved ./packag.json -> runner/data/packag.json
[2026-06-03 21:56:53.740125] 📦 Moved ./package.json -> runner/data/package.json
[2026-06-03 21:56:53.740466] 📦 Moved ./profile.json -> runner/data/profile.json
[2026-06-03 21:56:53.741425] 📦 Moved ./run.json -> runner/data/run.json
[2026-06-03 21:56:53.741843] 📦 Moved ./run.py -> runner/python/run.py
[2026-06-03 21:56:53.742214] 📦 Moved ./stat_counter.py -> runner/python/stat_counter.py
[2026-06-03 21:56:53.742805] 📦 Moved ./tamanna-auto.html -> runner/web/tamanna-auto.html
[2026-06-03 21:56:53.743369] 📦 Moved ./tamanna.html -> runner/web/tamanna.html
[2026-06-03 21:56:53.743730] 📦 Moved ./tamanna_all_in_one.sh -> runner/shell/tamanna_all_in_one.sh
[2026-06-03 21:56:53.744064] 📦 Moved ./tamanna_auto_counter.py -> runner/python/tamanna_auto_counter.py
[2026-06-03 21:56:53.744439] 📦 Moved ./tamanna_auto_pro.sh -> runner/shell/tamanna_auto_pro.sh
[2026-06-03 21:56:53.744784] 📦 Moved ./tamanna_autonomous.sh -> runner/shell/tamanna_autonomous.sh
[2026-06-03 21:56:53.745105] 📦 Moved ./tamanna_cli.py -> runner/python/tamanna_cli.py
[2026-06-03 21:56:53.745410] 📦 Moved ./tamanna_code_auto_comm.sh -> runner/shell/tamanna_code_auto_comm.sh
[2026-06-03 21:56:53.745698] 📦 Moved ./tamanna_debug.sh -> runner/shell/tamanna_debug.sh
[2026-06-03 21:56:53.746027] 📦 Moved ./tamanna_distributed_ai.py -> runner/python/tamanna_distributed_ai.py
[2026-06-03 21:56:53.746331] 📦 Moved ./tamanna_distributed_system.py -> runner/python/tamanna_distributed_system.py
[2026-06-03 21:56:53.746644] 📦 Moved ./tamanna_enterprise.sh -> runner/shell/tamanna_enterprise.sh
[2026-06-03 21:56:53.746919] 📦 Moved ./tamanna_full_backup.sh -> runner/shell/tamanna_full_backup.sh
[2026-06-03 21:56:53.747183] 📦 Moved ./tamanna_github_backup.sh -> runner/shell/tamanna_github_backup.sh
[2026-06-03 21:56:53.747466] 📦 Moved ./tamanna_head.py -> runner/python/tamanna_head.py
[2026-06-03 21:56:53.747795] 📦 Moved ./tamanna_head_sync.py -> runner/python/tamanna_head_sync.py
[2026-06-03 21:56:53.748277] 📦 Moved ./tamanna_master_ai.py -> runner/python/tamanna_master_ai.py
[2026-06-03 21:56:53.748674] 📦 Moved ./tamanna_master_attack.py -> runner/python/tamanna_master_attack.py
[2026-06-03 21:56:53.749039] 📦 Moved ./tamanna_master_dashboard.py -> runner/python/tamanna_master_dashboard.py
[2026-06-03 21:56:53.749466] 📦 Moved ./tamanna_multi_user.sh -> runner/shell/tamanna_multi_user.sh
[2026-06-03 21:56:53.749858] 📦 Moved ./tamanna_network_simulation.py -> runner/python/tamanna_network_simulation.py
[2026-06-03 21:56:53.750212] 📦 Moved ./tamanna_power.sh -> runner/shell/tamanna_power.sh
[2026-06-03 21:56:53.750535] 📦 Moved ./tamanna_repair.sh -> runner/shell/tamanna_repair.sh
[2026-06-03 21:56:53.750935] 📦 Moved ./tamanna_security_ai.py -> runner/python/tamanna_security_ai.py
[2026-06-03 21:56:53.751318] 📦 Moved ./tamanna_self_learning.sh -> runner/shell/tamanna_self_learning.sh
[2026-06-03 21:56:53.751698] 📦 Moved ./tamanna_success_program.sh -> runner/shell/tamanna_success_program.sh
[2026-06-03 21:56:53.752109] 📦 Moved ./tamanna_ultimate_cloud.sh -> runner/shell/tamanna_ultimate_cloud.sh
[2026-06-03 21:56:53.752526] 📦 Moved ./tamanna_ultra_24x7.sh -> runner/shell/tamanna_ultra_24x7.sh
[2026-06-03 21:56:53.752940] 📦 Moved ./tamanna_ultra_advanced.sh -> runner/shell/tamanna_ultra_advanced.sh
[2026-06-03 21:56:53.753322] 📦 Moved ./tamanna_ultra_ai.sh -> runner/shell/tamanna_ultra_ai.sh
[2026-06-03 21:56:53.753745] 📦 Moved ./tamanna_ultra_ai_full.sh -> runner/shell/tamanna_ultra_ai_full.sh
[2026-06-03 21:56:53.754100] 📦 Moved ./tamanna_ultra_all_in_one.sh -> runner/shell/tamanna_ultra_all_in_one.sh
[2026-06-03 21:56:53.754421] 📦 Moved ./tamanna_ultra_cloud.sh -> runner/shell/tamanna_ultra_cloud.sh
[2026-06-03 21:56:53.754814] 📦 Moved ./tamanna_ultra_extreme.sh -> runner/shell/tamanna_ultra_extreme.sh
[2026-06-03 21:56:53.755191] 📦 Moved ./tamanna_ultra_fileinfo.sh -> runner/shell/tamanna_ultra_fileinfo.sh
[2026-06-03 21:56:53.755523] 📦 Moved ./tamanna_ultra_firewall.sh -> runner/shell/tamanna_ultra_firewall.sh
[2026-06-03 21:56:53.755845] 📦 Moved ./tamanna_ultra_max.sh -> runner/shell/tamanna_ultra_max.sh
[2026-06-03 21:56:53.756272] 📦 Moved ./tamanna_ultra_mobile_alert.sh -> runner/shell/tamanna_ultra_mobile_alert.sh
[2026-06-03 21:56:53.756645] 📦 Moved ./tamanna_ultra_powerhub.sh -> runner/shell/tamanna_ultra_powerhub.sh
[2026-06-03 21:56:53.757014] 📦 Moved ./tamanna_ultra_pro.sh -> runner/shell/tamanna_ultra_pro.sh
[2026-06-03 21:56:53.757398] 📦 Moved ./tamanna_ultra_pro_cli.sh -> runner/shell/tamanna_ultra_pro_cli.sh
[2026-06-03 21:56:53.757746] 📦 Moved ./tamanna_ultra_real_time.sh -> runner/shell/tamanna_ultra_real_time.sh
[2026-06-03 21:56:53.758055] 📦 Moved ./tamanna_ultra_secure.sh -> runner/shell/tamanna_ultra_secure.sh
[2026-06-03 21:56:53.758354] 📦 Moved ./tamanna_web_dashboard.py -> runner/python/tamanna_web_dashboard.py
[2026-06-03 21:56:53.758639] 📦 Moved ./ti_chat.html -> runner/web/ti_chat.html
[2026-06-03 21:56:53.758911] 📦 Moved ./tsconfig.json -> runner/data/tsconfig.json
[2026-06-03 21:56:53.759184] 📦 Moved ./unlock_files.py -> runner/python/unlock_files.py
[2026-06-03 21:56:53.759506] 📦 Moved ./monitor.py -> runner/python/monitor.py
[2026-06-03 21:56:53.759841] 📦 Moved ./watcher.js -> runner/node/watcher.js
[2026-06-03 21:56:53.760340] 🛠 Auto-fixed: ./smart_monitor.py
[2026-06-03 21:56:53.760590] 📦 Moved ./smart_monitor.py -> runner/python/smart_monitor.py
[2026-06-03 21:56:53.762121] 📦 Moved ./.cache/pip/pip_cache_tool.py -> runner/python/pip_cache_tool.py
[2026-06-03 21:56:53.762606] 📦 Moved ./.env/ai-sync.js -> runner/node/ai-sync.js
[2026-06-03 21:56:53.763057] 📦 Moved ./.env/package.json -> runner/data/package.json
[2026-06-03 21:56:53.763384] 📦 Moved ./.env/run.js -> runner/node/run.js
[2026-06-03 21:56:53.764940] 📦 Moved ./.snapshots/config.json -> runner/data/config.json
[2026-06-03 21:56:53.765624] 📦 Moved ./.tamanna/config.json -> runner/data/config.json
[2026-06-03 21:56:53.766078] 📦 Moved ./.tamanna/launch.json -> runner/data/launch.json
[2026-06-03 21:56:53.766494] 📦 Moved ./.tamanna/settings.json -> runner/data/settings.json
[2026-06-03 21:56:53.766923] 📦 Moved ./.tamanna/tamanna_core.py -> runner/python/tamanna_core.py
[2026-06-03 21:56:53.767277] 📦 Moved ./.tamanna/tamanna_property.json -> runner/data/tamanna_property.json
[2026-06-03 21:56:53.767730] 📦 Moved ./.vscode/c_cpp_properties.json -> runner/data/c_cpp_properties.json
[2026-06-03 21:56:53.768246] 📦 Moved ./.vscode/launch.json -> runner/data/launch.json
[2026-06-03 21:56:53.768747] 📦 Moved ./.vscode/settings.json -> runner/data/settings.json
[2026-06-03 21:56:53.769385] 📦 Moved ./Tamanna-AI-System/ai_code_generator.py -> runner/python/ai_code_generator.py
[2026-06-03 21:56:53.769779] 📦 Moved ./Tamanna-AI-System/backup_manager.py -> runner/python/backup_manager.py
[2026-06-03 21:56:53.770116] 📦 Moved ./Tamanna-AI-System/config.py -> runner/python/config.py
[2026-06-03 21:56:53.770442] 📦 Moved ./Tamanna-AI-System/file_scanner.py -> runner/python/file_scanner.py
[2026-06-03 21:56:53.770757] 📦 Moved ./Tamanna-AI-System/git_clone_update.py -> runner/python/git_clone_update.py
[2026-06-03 21:56:53.771045] 📦 Moved ./Tamanna-AI-System/git_sync.py -> runner/python/git_sync.py
[2026-06-03 21:56:53.771325] 📦 Moved ./Tamanna-AI-System/logger.py -> runner/python/logger.py
[2026-06-03 21:56:53.771596] 📦 Moved ./Tamanna-AI-System/main.py -> runner/python/main.py
[2026-06-03 21:56:53.771884] 📦 Moved ./Tamanna-AI-System/serial_manager.py -> runner/python/serial_manager.py
[2026-06-03 21:56:53.772225] 📦 Moved ./Tamanna-AI-System/sync.json -> runner/data/sync.json
[2026-06-03 21:56:53.772745] 📦 Moved ./Tamanna-AI-System/tamanna_ai_system.py -> runner/python/tamanna_ai_system.py
[2026-06-03 21:56:53.773452] 📦 Moved ./ai system/ai_file_serial_manager.py -> runner/python/ai_file_serial_manager.py
[2026-06-03 21:56:53.773875] 📦 Moved ./ai system/config.json -> runner/data/config.json
[2026-06-03 21:56:53.774337] 📦 Moved ./api/auto_sync.sh -> runner/shell/auto_sync.sh
[2026-06-03 21:56:53.774631] 📦 Moved ./api/build_system.sh -> runner/shell/build_system.sh
[2026-06-03 21:56:53.775041] 📦 Moved ./api/config.json -> runner/data/config.json
[2026-06-03 21:56:53.775436] 📦 Moved ./api/main.py -> runner/python/main.py
[2026-06-03 21:56:53.775995] 📦 Moved ./artifacts/api-server/tsconfig.json -> runner/data/tsconfig.json
[2026-06-03 21:56:53.777026] 📦 Moved ./bd-king-r7/Bangla.py -> runner/python/Bangla.py
[2026-06-03 21:56:53.777390] 📦 Moved ./bd-king-r7/Comprehensive_monitoring.py -> runner/python/Comprehensive_monitoring.py
[2026-06-03 21:56:53.777766] 📦 Moved ./bd-king-r7/agent.js -> runner/node/agent.js
[2026-06-03 21:56:53.778081] 📦 Moved ./bd-king-r7/ai-.js -> runner/node/ai-.js
[2026-06-03 21:56:53.778510] 📦 Moved ./bd-king-r7/ai-sync.js -> runner/node/ai-sync.js
[2026-06-03 21:56:53.778810] 📦 Moved ./bd-king-r7/ai..js -> runner/node/ai..js
[2026-06-03 21:56:53.779102] 📦 Moved ./bd-king-r7/ai.js -> runner/node/ai.js
[2026-06-03 21:56:53.779397] 📦 Moved ./bd-king-r7/akon_config.json -> runner/data/akon_config.json
[2026-06-03 21:56:53.779893] 📦 Moved ./bd-king-r7/akon_tamanna_synce.py -> runner/python/akon_tamanna_synce.py
[2026-06-03 21:56:53.780434] 📦 Moved ./bd-king-r7/bd-king-r7_activate.py -> runner/python/bd-king-r7_activate.py
[2026-06-03 21:56:53.780791] 📦 Moved ./bd-king-r7/bd-king-r7_auto-fix_code.json -> runner/data/bd-king-r7_auto-fix_code.json
[2026-06-03 21:56:53.781230] 📦 Moved ./bd-king-r7/bot.js -> runner/node/bot.js
[2026-06-03 21:56:53.781584] 📦 Moved ./bd-king-r7/bulde_project.py -> runner/python/bulde_project.py
[2026-06-03 21:56:53.781943] 📦 Moved ./bd-king-r7/file_setup.html -> runner/web/file_setup.html
[2026-06-03 21:56:53.782263] 📦 Moved ./bd-king-r7/fix.js -> runner/node/fix.js
[2026-06-03 21:56:53.782546] 📦 Moved ./bd-king-r7/generator.js -> runner/node/generator.js
[2026-06-03 21:56:53.782870] 📦 Moved ./bd-king-r7/git.js -> runner/node/git.js
[2026-06-03 21:56:53.783154] 📦 Moved ./bd-king-r7/github-sync.js -> runner/node/github-sync.js
[2026-06-03 21:56:53.783437] 📦 Moved ./bd-king-r7/github.js -> runner/node/github.js
[2026-06-03 21:56:53.783739] 📦 Moved ./bd-king-r7/integrated_system.py -> runner/python/integrated_system.py
[2026-06-03 21:56:53.784080] 📦 Moved ./bd-king-r7/monitor.js -> runner/node/monitor.js
[2026-06-03 21:56:53.784521] 📦 Moved ./bd-king-r7/organizer.js -> runner/node/organizer.js
[2026-06-03 21:56:53.784990] 📦 Moved ./bd-king-r7/package.json -> runner/data/package.json
[2026-06-03 21:56:53.785345] 📦 Moved ./bd-king-r7/quick_start.py -> runner/python/quick_start.py
[2026-06-03 21:56:53.785708] 📦 Moved ./bd-king-r7/run..js -> runner/node/run..js
[2026-06-03 21:56:53.786152] 📦 Moved ./bd-king-r7/run.js -> runner/node/run.js
[2026-06-03 21:56:53.786621] 📦 Moved ./bd-king-r7/running_tamanna_system.py -> runner/python/running_tamanna_system.py
[2026-06-03 21:56:53.787024] 📦 Moved ./bd-king-r7/security.js -> runner/node/security.js
[2026-06-03 21:56:53.787379] 📦 Moved ./bd-king-r7/server.js -> runner/node/server.js
[2026-06-03 21:56:53.787709] 📦 Moved ./bd-king-r7/sync.js -> runner/node/sync.js
[2026-06-03 21:56:53.788066] 📦 Moved ./bd-king-r7/tamanna_advanced.py -> runner/python/tamanna_advanced.py
[2026-06-03 21:56:53.788672] 📦 Moved ./bd-king-r7/tamanna_core.py -> runner/python/tamanna_core.py
[2026-06-03 21:56:53.789081] 📦 Moved ./bd-king-r7/tamanna_manager.sh -> runner/shell/tamanna_manager.sh
[2026-06-03 21:56:53.789723] 📦 Moved ./bd-king-r7/tamanna_system.py -> runner/python/tamanna_system.py
[2026-06-03 21:56:53.790466] 📦 Moved ./bd-king-r7/IT/ai-github-bot.js -> runner/node/ai-github-bot.js
[2026-06-03 21:56:53.790888] 📦 Moved ./bd-king-r7/IT/auto_sync.sh -> runner/shell/auto_sync.sh
[2026-06-03 21:56:53.791280] 📦 Moved ./bd-king-r7/IT/autosync.sh -> runner/shell/autosync.sh
[2026-06-03 21:56:53.792315] 📦 Moved ./bd-king-r7/IT/bd-king-r7_Terminal.py -> runner/python/bd-king-r7_Terminal.py
[2026-06-03 21:56:53.792863] 📦 Moved ./bd-king-r7/IT/bd-king-r7_profile_system.sh -> runner/shell/bd-king-r7_profile_system.sh
[2026-06-03 21:56:53.793274] 📦 Moved ./bd-king-r7/IT/file_seve.html -> runner/web/file_seve.html
[2026-06-03 21:56:53.793655] 📦 Moved ./bd-king-r7/IT/sync_and_add.sh -> runner/shell/sync_and_add.sh
[2026-06-03 21:56:53.794116] 📦 Moved ./bd-king-r7/IT/tamanna_engine.sh -> runner/shell/tamanna_engine.sh
[2026-06-03 21:56:53.794507] 📦 Moved ./bd-king-r7/IT/tamanna_os_core.sh -> runner/shell/tamanna_os_core.sh
[2026-06-03 21:56:53.794895] 📦 Moved ./bd-king-r7/IT/tamanna_os_phase4.sh -> runner/shell/tamanna_os_phase4.sh
[2026-06-03 21:56:53.795273] 📦 Moved ./bd-king-r7/IT/tamanna_os_phase5.sh -> runner/shell/tamanna_os_phase5.sh
[2026-06-03 21:56:53.795633] 📦 Moved ./bd-king-r7/IT/tamanna_os_phase6.sh -> runner/shell/tamanna_os_phase6.sh
[2026-06-03 21:56:53.795996] 📦 Moved ./bd-king-r7/IT/tamanna_power_engine.sh -> runner/shell/tamanna_power_engine.sh
[2026-06-03 21:56:53.796944] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/bd-king-r7.py -> runner/python/bd-king-r7.py
[2026-06-03 21:56:53.797416] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/bd-king-r7_system_potocol.py -> runner/python/bd-king-r7_system_potocol.py
[2026-06-03 21:56:53.797818] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/bd-king-r7_universal.py -> runner/python/bd-king-r7_universal.py
[2026-06-03 21:56:53.798175] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/bd_king_r7_all_in_one.py -> runner/python/bd_king_r7_all_in_one.py
[2026-06-03 21:56:53.798534] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/daw.py -> runner/python/daw.py
[2026-06-03 21:56:53.798863] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/manifest.json -> runner/data/manifest.json
[2026-06-03 21:56:53.799196] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/system_loop.py -> runner/python/system_loop.py
[2026-06-03 21:56:53.799798] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/radar/config.json -> runner/data/config.json
[2026-06-03 21:56:53.800226] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/radar/detector.py -> runner/python/detector.py
[2026-06-03 21:56:53.800718] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/radar/monitor.py -> runner/python/monitor.py
[2026-06-03 21:56:53.801119] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/radar/protocol.json -> runner/data/protocol.json
[2026-06-03 21:56:53.801501] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/radar/radar.json -> runner/data/radar.json
[2026-06-03 21:56:53.801883] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/radar/radar.py -> runner/python/radar.py
[2026-06-03 21:56:53.802221] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/radar/scanner.py -> runner/python/scanner.py
[2026-06-03 21:56:53.802745] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/radar/database/users.json -> runner/data/users.json
[2026-06-03 21:56:53.803284] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/radar/output/report.json -> runner/data/report.json
[2026-06-03 21:56:53.803744] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/radar/security/alerts.json -> runner/data/alerts.json
[2026-06-03 21:56:53.804135] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/radar/security/blocked_ip.json -> runner/data/blocked_ip.json
[2026-06-03 21:56:53.804616] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/tamanna deep power/deep_power.py -> runner/python/deep_power.py
[2026-06-03 21:56:53.805036] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/tamanna deep power/runs.py -> runner/python/runs.py
[2026-06-03 21:56:53.805398] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/tamanna deep power/signal.py -> runner/python/signal.py
[2026-06-03 21:56:53.805831] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/tamanna deep power/system_loop.py -> runner/python/system_loop.py
[2026-06-03 21:56:53.806235] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/tamanna deep power/tamanna_deep_power.py -> runner/python/tamanna_deep_power.py
[2026-06-03 21:56:53.806750] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/BD-king-r7 system potocol/tamanna deep power/tamanna_intelligence.py -> runner/python/tamanna_intelligence.py
[2026-06-03 21:56:53.807417] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/system architecture/index.html -> runner/web/index.html
[2026-06-03 21:56:53.807804] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/system architecture/system.js -> runner/node/system.js
[2026-06-03 21:56:53.808194] 📦 Moved ./bd-king-r7/IT/BD-KING-R7 program/system architecture/system.py -> runner/python/system.py
[2026-06-03 21:56:53.808654] 📦 Moved ./bd-king-r7/IT/Cybersecurity/Digital_forensics.py -> runner/python/Digital_forensics.py
[2026-06-03 21:56:53.808995] 📦 Moved ./bd-king-r7/IT/Cybersecurity/cybersecurity.py -> runner/python/cybersecurity.py
[2026-06-03 21:56:53.809312] 📦 Moved ./bd-king-r7/IT/Cybersecurity/network_defence.py -> runner/python/network_defence.py
[2026-06-03 21:56:53.809618] 📦 Moved ./bd-king-r7/IT/Cybersecurity/security_awareness.py -> runner/python/security_awareness.py
[2026-06-03 21:56:53.809911] 📦 Moved ./bd-king-r7/IT/Cybersecurity/security_hardening.sh -> runner/shell/security_hardening.sh
[2026-06-03 21:56:53.810323] 📦 Moved ./bd-king-r7/IT/apps/Metadata.json -> runner/data/Metadata.json
[2026-06-03 21:56:53.810663] 📦 Moved ./bd-king-r7/IT/apps/Sleep insights and recommendations.json -> runner/data/Sleep insights and recommendations.json
[2026-06-03 21:56:53.811091] 📦 Moved ./bd-king-r7/IT/apps/ai_sync_controller.py -> runner/python/ai_sync_controller.py
[2026-06-03 21:56:53.811393] 📦 Moved ./bd-king-r7/IT/apps/app.js -> runner/node/app.js
[2026-06-03 21:56:53.811817] 📦 Moved ./bd-king-r7/IT/apps/apps.py -> runner/python/apps.py
[2026-06-03 21:56:53.812446] 📦 Moved ./bd-king-r7/IT/apps/bd-king-r7_ai.py -> runner/python/bd-king-r7_ai.py
[2026-06-03 21:56:53.812971] 📦 Moved ./bd-king-r7/IT/apps/index.html -> runner/web/index.html
[2026-06-03 21:56:53.813356] 📦 Moved ./bd-king-r7/IT/apps/ping.py -> runner/python/ping.py
[2026-06-03 21:56:53.813842] 📦 Moved ./bd-king-r7/IT/apps/synce.py -> runner/python/synce.py
[2026-06-03 21:56:53.814333] 📦 Moved ./bd-king-r7/IT/apps/config/ai_sync_config.json -> runner/data/ai_sync_config.json
[2026-06-03 21:56:53.814930] 📦 Moved ./bd-king-r7/IT/bd-king-r7/bd-king-r7.html -> runner/web/bd-king-r7.html
[2026-06-03 21:56:53.815624] 📦 Moved ./bd-king-r7/IT/bd-king-r7/bd-king-r7_.py -> runner/python/bd-king-r7_.py
[2026-06-03 21:56:53.815993] 📦 Moved ./bd-king-r7/IT/bd-king-r7/bd-king-r7_login.html -> runner/web/bd-king-r7_login.html
[2026-06-03 21:56:53.816440] 📦 Moved ./bd-king-r7/IT/bd-king-r7/bd.json -> runner/data/bd.json
[2026-06-03 21:56:53.816849] 📦 Moved ./bd-king-r7/IT/bd-king-r7/check_domen.sh -> runner/shell/check_domen.sh
[2026-06-03 21:56:53.817193] 📦 Moved ./bd-king-r7/IT/bd-king-r7/monitoring.json -> runner/data/monitoring.json
[2026-06-03 21:56:53.817791] 📦 Moved ./bd-king-r7/IT/bd-king-r7/monitoring.py -> runner/python/monitoring.py
[2026-06-03 21:56:53.818232] 📦 Moved ./bd-king-r7/IT/bd-king-r7/symptoms_db.json -> runner/data/symptoms_db.json
[2026-06-03 21:56:53.818659] 📦 Moved ./bd-king-r7/IT/bd-king-r7/update_versions.py -> runner/python/update_versions.py
[2026-06-03 21:56:53.819306] 📦 Moved ./bd-king-r7/IT/bd-king-r7/backup/aktive.sh -> runner/shell/aktive.sh
[2026-06-03 21:56:53.819732] 📦 Moved ./bd-king-r7/IT/bd-king-r7/backup/all_restoret.py -> runner/python/all_restoret.py
[2026-06-03 21:56:53.820219] 📦 Moved ./bd-king-r7/IT/bd-king-r7/backup/bd-king-r7_all_backup.py -> runner/python/bd-king-r7_all_backup.py
[2026-06-03 21:56:53.820633] 📦 Moved ./bd-king-r7/IT/bd-king-r7/backup/r7.sh -> runner/shell/r7.sh
[2026-06-03 21:56:53.821068] 📦 Moved ./bd-king-r7/IT/bd-king-r7/backup/r7_backup.py -> runner/python/r7_backup.py
[2026-06-03 21:56:53.821391] 📦 Moved ./bd-king-r7/IT/bd-king-r7/backup/r7_log.py -> runner/python/r7_log.py
[2026-06-03 21:56:53.821726] 📦 Moved ./bd-king-r7/IT/bd-king-r7/backup/ssl.sh -> runner/shell/ssl.sh
[2026-06-03 21:56:53.822032] 📦 Moved ./bd-king-r7/IT/bd-king-r7/backup/tamanna_l.sh -> runner/shell/tamanna_l.sh
[2026-06-03 21:56:53.822357] 📦 Moved ./bd-king-r7/IT/bd-king-r7/backup/tamanna_r.py -> runner/python/tamanna_r.py
